category,sub_category,price,image_url,addr_pr,slug,store,name
RESEAUX & SECURITE,Câbles,"24,000 DT",http://www.mytek.tn/31256-large_default/aqprox-mini-display-port-hdmi-adaptateur-tunsie.jpg,http://www.mytek.tn/cables-video-tunisie/5909-aqprox-mini-display-port-hdmi-adaptateur-tunsie.html,,My Teck,AQPROX MINI DISPLAY PORT / HDMI ADAPTATEUR
RESEAUX & SECURITE,Câbles,"9,900 DT",http://www.mytek.tn/33067-large_default/cable-vga-male-male-blinde-15-m.jpg,http://www.mytek.tn/cables-video-tunisie/6460-cable-vga-male-male-blinde-15-m.html,,My Teck,Cable VGA Mâle / Mâle Blindé 1.5 m
RESEAUX & SECURITE,Câbles,"27,000 DT",http://www.mytek.tn/31255-large_default/aqprox-mini-display-port-vga-adaptateur-tunsie.jpg,http://www.mytek.tn/cables-video-tunisie/5908-aqprox-mini-display-port-vga-adaptateur-tunsie.html,,My Teck,AQPROX MINI DISPLAY PORT / VGA ADAPTATEUR
TELEPHONIE,Accessoires Téléphonie,"12,000 DT",http://www.mytek.tn/35004-large_default/tempered-glass-samsung-s7.jpg,http://www.mytek.tn/protection-ecran/7153-tempered-glass-samsung-s7.html,,My Teck,TEMPERED GLASS SAMSUNG S7
RESEAUX & SECURITE,Câbles,"19,900 DT",http://www.mytek.tn/31253-large_default/aqprox-display-port-hdmi-adaptateur-tunsie.jpg,http://www.mytek.tn/cables-video-tunisie/5907-aqprox-display-port-hdmi-adaptateur-tunsie.html,,My Teck,AQPROX DISPLAY PORT / HDMI ADAPTATEUR
IMPRESSION,Consommables,"49,900 DT",http://www.mytek.tn/20976-large_default/cartouche-jet-d-encre-hp-121-couleur.jpg,http://www.mytek.tn/cartouche-tunisie/3269-cartouche-jet-d-encre-hp-121-couleur.html,,My Teck,Cartouche jet d'encre HP 121 Couleur
IMPRESSION,Consommables,"39,000 DT",http://www.mytek.tn/21126-large_default/samsung-mlt-d104s-toner-adaptable-cartridge-tunsie.jpg,http://www.mytek.tn/toner-imprimante-tunisie/3292-samsung-mlt-d104s-toner-adaptable-cartridge-tunsie.html,,My Teck,SAMSUNG MLT-D104S Toner ADAPTABLE Cartridge
IMPRESSION,Consommables,"39,000 DT",http://www.mytek.tn/21119-large_default/epson-cartouche-dorigine-711-noir-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/3290-epson-cartouche-dorigine-711-noir-tunsie.html,,My Teck,Cartouche d'encre EPSON T0711 Noir
TELEPHONIE,Accessoires Téléphonie,"10,000 DT",http://www.mytek.tn/35003-large_default/tempered-glass-samsung-a510.jpg,http://www.mytek.tn/protection-ecran/7151-tempered-glass-samsung-a510.html,,My Teck,TEMPERED GLASS SAMSUNG A510
TELEPHONIE,Accessoires Téléphonie,"6,000 DT",http://www.mytek.tn/35009-large_default/coque-silicone-samsung-s7.jpg,http://www.mytek.tn/etuis-et-coques-tunisie/7155-coque-silicone-samsung-s7.html,,My Teck,COQUE SILICONE SAMSUNG S7
